T,ComputingTime,Objective
50,0.09097099304199219,252.5
70,0.24890518188476562,361.0
90,0.7657508850097656,504.99999999999983
110,1.6884441375732422,644.6666666666679
130,2.02734375,755.9999999999993
150,2.8200759887695312,871.9999999999995
170,4.149614334106445,1001.3500000000013
190,4.8704071044921875,1139.6250000000011
210,5.314262390136719,1278.4999999999993
230,6.958734512329102,1368.3333333333312
250,9.141042709350586,1508.7857142857
270,9.293991088867188,1635.3333333333385
290,13.087757110595703,1773.4186046511534
310,14.06644058227539,1885.3076923076837
330,17.106449127197266,1989.4545454545448
350,21.879899978637695,2120.166666666667
370,20.604318618774414,2255.0909090909327
390,25.182830810546875,2394.545454545489
410,28.311817169189453,2501.666666666644
430,35.228599548339844,2617.1818181818753
450,36.70710754394531,2753.2857142857065
470,39.73712730407715,2892.4375
490,46.22902488708496,3002.8571428572022
510,55.17814254760742,3131.333333333312
530,89.87491416931152,3223.9090909092015
550,59.87260627746582,3388.6363636364754
570,87.00582504272461,3498.222222222427
590,100.20855140686035,3646.3333333334945
610,104.41519165039062,3740.4444444445685
630,134.5914306640625,3895.8281249999914
650,128.98823928833008,4001.7500000000036
670,136.1979160308838,4131.428571428678
690,129.8549575805664,4245.999999999993
