T,ComputingTime,Objective
50,0.020990371704101562,292.5
70,0.03898811340332031,401.0
90,0.04498481750488281,526.0
110,0.061981201171875,644.6666666666665
130,0.11996078491210938,756.0
150,0.1379566192626953,872.0
170,0.1959362030029297,1001.3500000000003
190,0.29590415954589844,1139.625
210,0.4268608093261719,1278.4999999999998
230,0.4058666229248047,1368.3333333333226
250,0.4838428497314453,1508.7857142857074
270,0.5878086090087891,1635.3333333333494
290,0.6627845764160156,1773.4186046511622
310,0.7297630310058594,1885.307692307679
330,1.0556564331054688,1989.4545454545244
350,1.3165740966796875,2120.1666666666706
370,0.9836807250976562,2255.0909090909095
390,1.9343681335449219,2394.5454545454795
410,1.9903564453125,2501.666666666642
430,1.8983840942382812,2617.1818181818494
450,2.4731979370117188,2753.285714285711
470,3.31292724609375,2892.437499999989
490,3.187967300415039,3002.857142857154
510,2.617155075073242,3131.3333333332903
530,2.858074188232422,3223.9090909091838
550,2.9140491485595703,3388.636363636466
570,4.593511581420898,3498.222222222337
590,3.9977054595947266,3646.333333333405
610,4.661491394042969,3740.444444444508
630,4.661489486694336,3895.8281249999977
650,4.207637786865234,4001.7500000000186
670,4.295610427856445,4131.428571428662
690,3.7437744140625,4245.999999999945
