T,ComputingTime
50,0.007999420166015625
70,0.017993927001953125
90,0.03598976135253906
110,0.06298065185546875
130,0.06497955322265625
150,0.08796882629394531
170,0.14895057678222656
190,0.16594696044921875
210,0.2019367218017578
230,0.2289295196533203
250,0.3418922424316406
270,0.4598541259765625
290,0.48584747314453125
310,0.6178016662597656
330,0.6317996978759766
350,0.7907371520996094
370,0.8517265319824219
390,1.6564712524414062
410,1.9253883361816406
430,1.946380615234375
450,2.48919677734375
470,2.5361766815185547
490,2.3652477264404297
510,2.3242530822753906
530,2.532194137573242
550,2.6511268615722656
570,3.951742172241211
590,3.7398109436035156
610,3.588857650756836
630,4.085689544677734
650,4.155677795410156
670,3.488889694213867
690,3.591856002807617
