T,ComputingTime,Objective
50,0.12896156311035156,260.0
70,0.3728790283203125,365.0
90,1.8753929138183594,525.0
110,10.74852180480957,670.0
130,96.85765838623047,806.0
150,1139.0373916625977,937.0
170,10536.241319656372,1076.0
190,10318.183898925781,1218.0
