InvestmentCost,ProductionRevenue,Locations
0.0,-0.0,_______
2.7373737373737375,-0.0,_______
5.474747474747475,-0.0,_______
8.212121212121213,-0.0,_______
10.94949494949495,-0.0,_______
13.686868686868687,-0.0,_______
16.424242424242426,-0.0,_______
19.161616161616163,-0.0,_______
21.8989898989899,-0.0,_______
24.636363636363637,-0.0,_______
27.373737373737374,-0.0,_______
30.11111111111111,-0.0,_______
32.84848484848485,-0.0,_______
35.58585858585859,-0.0,_______
38.323232323232325,-0.0,_______
41.06060606060606,-0.0,_______
43.7979797979798,528.880194852893,__L____
46.535353535353536,528.880194852893,__L____
49.27272727272727,528.880194852893,L______
52.01010101010101,528.880194852893,L______
54.74747474747475,528.880194852893,L______
57.484848484848484,528.880194852893,L______
60.22222222222222,528.880194852893,L______
62.95959595959596,528.880194852893,L______
65.6969696969697,528.880194852893,L______
68.43434343434343,528.880194852893,L______
71.17171717171718,528.880194852893,L______
73.9090909090909,528.880194852893,__L____
76.64646464646465,528.880194852893,______L
79.38383838383838,663.8753715985051,___S_L_
82.12121212121212,1043.4671615978214,___L_L_
84.85858585858585,1043.4671615978214,___L_L_
87.5959595959596,1057.760389705786,L_____L
90.33333333333333,1057.760389705786,L_____L
93.07070707070707,1057.760389705786,L_____L
95.8080808080808,1057.760389705786,L_____L
98.54545454545455,1057.760389705786,L_____L
101.28282828282828,1057.760389705786,L_____L
104.02020202020202,1057.760389705786,L_____L
106.75757575757575,1057.760389705786,L_____L
109.4949494949495,1057.760389705786,L_____L
112.23232323232324,1057.760389705786,L_____L
114.96969696969697,1057.760389705786,L_____L
117.70707070707071,1489.6908340484986,___LLL_
120.44444444444444,1489.6908340484986,___LLL_
123.18181818181819,1572.3473564507144,L__L_L_
125.91919191919192,1572.3473564507144,L__L_L_
128.65656565656565,1572.3473564507144,L__L_L_
131.3939393939394,1572.3473564507144,L__L_L_
134.13131313131314,1572.3473564507144,L__L_L_
136.86868686868686,1572.3473564507144,L__L_L_
139.6060606060606,1572.3473564507144,L__L_L_
142.34343434343435,1572.3473564507144,L__L_L_
145.08080808080808,1572.3473564507144,L__L_L_
147.8181818181818,1572.3473564507144,L__L_L_
150.55555555555554,1572.3473564507144,_L_L_L_
153.2929292929293,1582.704544369246,___LLLS
156.03030303030303,1900.91175112052,___LLLL
158.76767676767676,1900.91175112052,___LLLL
161.5050505050505,2061.3316542994335,LL_L_L_
164.24242424242425,2061.3316542994335,LL_L_L_
166.97979797979798,2061.3316542994335,LL_L_L_
169.7171717171717,2061.3316542994335,LL_L_L_
172.45454545454547,2061.3316542994335,LL_L_L_
175.1919191919192,2061.3316542994335,LL_L_L_
177.92929292929293,2061.3316542994335,LL_L_L_
180.66666666666666,2061.3316542994335,LL_L_L_
183.40404040404042,2061.3316542994335,LL_L_L_
186.14141414141415,2061.3316542994335,LL_L_L_
188.87878787878788,2061.3316542994335,LL_L_L_
191.6161616161616,2061.3316542994335,LL_L_L_
194.35353535353536,2061.3316542994335,LL_L_L_
197.0909090909091,2507.555326750111,LL_L_LL
199.82828282828282,2507.555326750111,LL_L_LL
202.56565656565655,2507.555326750111,LL_L_LL
205.3030303030303,2507.555326750111,LL_L_LL
208.04040404040404,2507.555326750111,LL_L_LL
210.77777777777777,2507.555326750111,LL_L_LL
213.5151515151515,2507.555326750111,LL_LLL_
216.25252525252526,2507.555326750111,LL_LLL_
218.989898989899,2507.555326750111,LL_LLL_
221.72727272727272,2507.555326750111,LL_L_LL
224.46464646464648,2507.555326750111,LL_LLL_
227.2020202020202,2507.555326750111,LL_L_LL
229.93939393939394,2507.555326750111,LL_L_LL
232.67676767676767,2507.555326750111,LL_LLL_
235.41414141414143,2946.505460887547,LLLL_LL
238.15151515151516,2946.505460887547,LLLL_LL
240.88888888888889,2946.505460887547,LLLL_LL
243.62626262626262,2946.505460887547,LLLL_LL
246.36363636363637,2946.505460887547,LLLL_LL
249.1010101010101,2946.505460887547,LLLL_LL
251.83838383838383,2946.505460887547,LLLL_LL
254.57575757575756,2946.505460887547,LLLL_LL
257.3131313131313,2946.505460887547,LLLL_LL
260.050505050505,2946.505460887547,LLLL_LL
262.7878787878788,2946.505460887547,LLLL_LL
265.52525252525254,2946.505460887547,LLLL_LL
268.26262626262627,2946.505460887547,LLLL_LL
271.0,3357.7263779595687,LLLLLLL
