t,S,I,R
0,10327589,1,0
0.000200950914520766,10327588.999736,1.00021378022935,5.0243098355456e-05
0.000401901829041533,10327588.9994719,1.00042760616067,0.000100496937692001
0.000602852743562299,10327588.9992078,1.00064147780375,0.000150761520305845
0.000803803658083066,10327588.9989436,1.00085539516835,0.000201036848493687
0.0018085582306869,10327588.9976218,1.00192566815636,0.00045257475346187
0.00281331280329073,10327588.9962985,1.00299708564945,0.000704381642567375
0.00381806737589456,10327588.9949739,1.00406964887153,0.000956457803450489
0.00482282194849839,10327588.9936478,1.00514335904779,0.00120880352405935
0.00984659481151755,10327588.9869963,1.01052915721688,0.00247458562312101
0.0148703676745367,10327588.980309,1.01594381377353,0.00374715008473882
0.0198941405375559,10327588.973586,1.02138748334674,0.00502653325018026
0.024917913400575,10327588.9668269,1.02686032139751,0.00631277165624227
0.0500367777156708,10327588.9324844,1.05466754325613,0.012848085962381
0.0751556420307666,10327588.8972118,1.08322777713886,0.0195603748349027
0.100274506345862,10327588.8609842,1.11256141179341,0.0264544300843289
0.125393370660958,10327588.8237754,1.14268939799354,0.0335351756099262
0.250987692236437,10327588.6220461,1.30603003390133,0.0719238513699012
0.376582013811916,10327588.3914974,1.49270578036454,0.115796797297384
0.502176335387395,10327588.1280086,1.70605320497158,0.165938181364485
0.627770656962874,10327587.8268472,1.94990423320191,0.223248591831863
0.825480486741474,10327587.2630051,2.40644833247279,0.330546606199515
1.02319031652007,10327586.5674554,2.96963628578164,0.462908307021084
1.22090014629867,10327585.7092011,3.66456650506456,0.626232386837631
1.41860997607727,10327584.6498127,4.52235542463682,0.82783191211015
1.65588007238869,10327583.0453885,5.8214608138992,1.13315070136006
1.8931501687001,10327580.9819766,7.49220934821075,1.52581401219144
2.13042026501152,10327578.3263711,9.64245815447844,2.03117076237652
2.36769036132293,10327574.9066638,12.4114013686348,2.68193483339595
2.62528997992818,10327570.0711123,16.3267558083464,3.60213187971964
2.88288959853343,10327563.7182857,21.4706499239526,4.81106432740468
3.14048921713868,10327555.3630032,28.2359348480524,6.40106196829534
3.39808883574392,10327544.366373,37.1399209412468,8.49370610701669
3.6653060196935,10327529.2744957,49.359829992705,11.3656743226895
3.93252320364309,10327509.2469266,65.5761681615198,15.1769051939298
4.19974038759267,10327482.634677,87.1241161424829,20.2412068654001
4.46695757154225,10327447.2457885,115.77849073854,26.9757208068388
4.7384121551872,10327399.3388273,154.568704994577,36.0924677110654
5.00986673883215,10327335.4829959,206.272644165861,48.2443599545643
5.2813213224771,10327250.2484233,275.286793006603,64.4647837314837
5.55277590612205,10327136.3877445,367.479187060053,86.133068434726
5.82600371706406,10326983.1913425,491.521091102749,115.287566390043
6.09923152800607,10326778.6207684,657.159659733962,154.219571846243
6.37245933894809,10326505.0521386,878.664026425032,206.283834983911
6.6456871498901,10326138.9254494,1175.10900140826,275.965549196743
6.91964897677851,10325647.5886475,1572.9296199259,369.481732618915
7.19361080366692,10324991.0307151,2104.51871790938,494.450566961327
7.46757263055533,10324112.437675,2815.86875666262,661.693568383312
7.74153445744374,10322935.8429521,3768.47168359799,885.685364286035
8.01586139521654,10321358.4477701,5045.52898268018,1186.02324718379
8.29018833298934,10319250.3388214,6752.18862877871,1587.47254983517
8.56451527076214,10316429.2350925,9035.94143474273,2124.82347273268
8.83884220853493,10312651.7116809,12093.6997736585,2844.58854539755
9.11355213421415,10307588.6759084,16191.5711095879,3809.75298198906
9.38826205989336,10300824.8223575,21665.3837568579,5099.79388564103
9.66297198557256,10291780.219119,28983.6552439262,6826.12563712221
9.93768191125178,10279684.1318539,38768.5075749456,9137.36057112975
10.2133253651255,10263464.8174165,51884.0221195995,12241.1604638626
10.4889688189991,10241831.0794898,69371.0844120269,16387.8360981635
10.7646122728728,10212982.3835528,92676.8380693517,21930.778377884
11.0402557267465,10174564.1380883,123688.133074708,29337.7288369863
11.3188115241145,10122951.6614974,165301.487751592,39336.8507509836
11.5973673214825,10054471.9936635,220443.542888828,52674.4634477063
11.8759231188504,9963970.30973323,293181.59777419,70438.0924925739
12.1544789162184,9845073.64514628,388485.597758532,94030.7570951881
12.4424904201756,9684289.31547719,516879.306416522,126421.378106281
12.7305019241328,9474766.46518572,683433.134513263,169390.400301013
13.01851342809,9205715.23609577,895921.188858603,225953.575045629
13.3065249320472,8866792.6280465,1161132.35602451,299665.015928983
13.6252177740349,8399957.81961898,1521686.54996722,405945.630413802
13.9439106160226,7830112.10740162,1953493.89134553,543984.001252855
14.2626034580104,7162339.77325685,2446230.71710446,719019.509638684
14.5812962999981,6416690.96479484,2976059.28208581,934839.753119346
14.9566254950373,5482942.0810934,3600684.49840556,1243963.42050104
15.3319546900765,4554259.02181464,4164341.99610103,1608988.98208433
15.7072838851157,3691189.39619847,4614793.14354329,2021607.46025824
16.082613080155,2936852.08873816,4920617.72427535,2470120.18698649
16.4853875209688,2272763.34291206,5080090.82587793,2974735.83121001
16.8881619617825,1749774.37763051,5090135.19598017,3487680.42638933
17.2909364025963,1348870.40654734,4982830.99555381,3995888.59789886
17.6937108434101,1048757.30890089,4790052.59685774,4488780.09424136
18.164320557252,794684.828959962,4498139.33763229,5034765.83340775
18.6349302710939,612096.103599122,4171064.34495193,5544429.55144894
19.1055399849358,477544.848253713,3833963.72553509,6016081.42621119
19.5761496987776,380003.267261464,3499466.47638161,6448120.25635692
19.9680017882019,321331.748090114,3228718.10607697,6777540.14583292
