i,Infected,Dead
1,184.290654921438,0.373802929707689
2,6691.17237591206,15.4484203368603
3,433326.33679926,1594.47366058556
4,4365355.58463055,19763.7079307601
5,7211853.39323842,45475.0787473399
6,8623401.91444431,89984.5953713245
7,9377740.53816001,164681.645459295
8,9890203.77733533,306983.445922971
9,10087162.1914945,637591.575934084
