CO2ConcRCP45,CH4Conc,N2OConc
386.9516,1763.7761,322.27296
389.12785,1767.0978,322.96652
391.27357,1770.3696,323.66136
393.4211,1773.634,324.35776
395.58283,1776.916,325.0557
397.76408,1780.2442,325.75517
399.96631,1783.6532,326.45616
402.18432,1787.1405,327.15866
404.41077,1790.6772,327.86264
406.64292,1794.2446,328.56811
408.8817,1797.8331,329.27503
411.12868,1801.4336,329.98341
413.37804,1804.9692,330.69322
415.63944,1808.3032,331.40414
417.93551,1811.4034,332.11582
420.27395,1814.3245,332.82825
422.65593,1817.1155,333.54143
425.07983,1819.8284,334.25534
427.53791,1822.4758,334.96997
430.0206,1825.0416,335.68531
432.5234,1827.5186,336.40136
435.04594,1829.9083,337.11811
437.58886,1832.2116,337.83556
440.13137,1834.2573,338.5514
442.66419,1835.9165,339.26337
445.20699,1837.2698,339.97144
447.76978,1838.3808,340.67563
450.35539,1839.3058,341.37592
452.96337,1840.1035,342.07235
455.58649,1840.7918,342.76495
458.2152,1841.3593,343.45375
460.84499,1841.8029,344.13879
463.47549,1842.1277,344.82011
466.09336,1842.2412,345.49546
468.67807,1841.988,346.16264
471.23389,1841.3496,346.82167
473.78031,1840.4075,347.47259
476.32819,1839.2273,348.11545
478.88085,1837.8661,348.7503
481.43826,1836.3831,349.37722
483.99308,1834.7965,349.99627
486.53532,1833.0944,350.60754
489.06035,1831.2756,351.21109
491.53558,1829.2097,351.80717
493.93186,1826.7763,352.39606
496.24365,1823.9312,352.97782
498.47436,1820.661,353.55252
500.64502,1817.0522,354.12023
502.76788,1813.1751,354.681
504.84729,1809.0911,355.23491
506.88408,1804.8626,355.78201
508.87135,1800.5112,356.32237
510.79905,1796.029,356.85605
512.64717,1791.3398,357.38243
514.40151,1786.3824,357.90088
516.06461,1781.1776,358.41148
517.62854,1775.6742,358.91428
519.09606,1769.8516,359.40934
520.48828,1763.7874,359.89673
521.81772,1757.5445,360.37652
523.08871,1751.1765,360.84878
524.30217,1744.7388,361.31358
525.45089,1738.2476,361.77097
526.50901,1731.6149,362.22036
527.45707,1724.7672,362.66114
528.29593,1717.7215,363.09336
529.02718,1710.4939,363.5171
529.64253,1703.0317,363.93242
530.14419,1695.3121,364.3394
530.55341,1687.4256,364.73811
530.88313,1679.5515,365.12863
531.13797,1671.8286,365.51103
531.31935,1664.2839,365.88539
531.48991,1657.1219,366.2538
531.70213,1650.4938,366.61836
531.94208,1644.3245,366.97916
532.20472,1638.5564,367.33624
532.48672,1633.1396,367.68968
532.77553,1627.9657,368.03952
533.06978,1622.9629,368.38579
533.38792,1618.1547,368.72852
533.74072,1613.5543,369.06775
534.13086,1609.1698,369.4035
534.55754,1605.0136,369.73581
535.01142,1601.0651,370.0647
535.47962,1597.2813,370.39021
535.95487,1593.6308,370.71236
536.4351,1590.0932,371.03119
536.91986,1586.6513,371.34672
